2:43:56 91% (16m left); send: 14629508 1.49 Kp/s (1.49 Kp/s avg); recv: 10463 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:57 91% (16m left); send: 14630999 1.49 Kp/s (1.49 Kp/s avg); recv: 10464 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:58 91% (16m left); send: 14632486 1.49 Kp/s (1.49 Kp/s avg); recv: 10464 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:43:59 91% (16m left); send: 14633975 1.49 Kp/s (1.49 Kp/s avg); recv: 10464 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:00 91% (16m left); send: 14635463 1.49 Kp/s (1.49 Kp/s avg); recv: 10464 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:01 91% (16m left); send: 14636951 1.49 Kp/s (1.49 Kp/s avg); recv: 10464 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:02 91% (16m left); send: 14638439 1.49 Kp/s (1.49 Kp/s avg); recv: 10465 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:03 91% (16m left); send: 14639928 1.49 Kp/s (1.49 Kp/s avg); recv: 10468 2 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:04 91% (16m left); send: 14641416 1.49 Kp/s (1.49 Kp/s avg); recv: 10470 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:05 91% (16m left); send: 14642904 1.49 Kp/s (1.49 Kp/s avg); recv: 10471 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:06 91% (16m left); send: 14644393 1.49 Kp/s (1.49 Kp/s avg); recv: 10473 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:44:07 91% (16m left); send: 14645879 1.49 Kp/s (1.49 Kp/s avg); recv: 10474 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
